name,artist,genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,type,movement
"Something to Rap About (feat. Tyler, The Creator)",Freddie Gibbs,"['alternative hip hop', 'hip hop', 'indiana hip hop', 'rap', 'underground hip hop']",0.406,0.524,5,-11.071,1,0.255,0.469,3.95e-06,0.117,0.412,56.046,282560,4,chill,"[0.2, 0.3, 0.4]"
Runaway,Kanye West,"['chicago rap', 'hip hop', 'rap']",0.374,0.568,1,-3.825,0,0.109,0.219,0.00219,0.513,0.111,84.733,547733,4,chill,"[0.2, 0.3, 0.4]"
Head High,Joey Bada$$,"['conscious hip hop', 'hip hop', 'rap']",0.618,0.864,2,-3.838,1,0.371,0.0969,0.0,0.19,0.597,169.978,180827,4,chill,"[0.2, 0.3, 0.4]"
Soundtrack 2 My Life,Kid Cudi,"['hip hop', 'ohio hip hop', 'pop rap', 'rap']",0.464,0.754,9,-6.653,0,0.128,0.465,1.57e-05,0.37,0.444,86.501,235627,4,chill,"[0.2, 0.3, 0.4]"
Feather (feat. Cise Starr & Akin from CYNE),Nujabes,"['ambeat', 'chillhop', 'downtempo', 'instrumental hip hop', 'japanese chillhop', 'japanese old school hip hop', 'jazz rap']",0.565,0.749,10,-6.629,0,0.0769,0.655,0.432,0.106,0.881,180.598,175360,4,chill,"[0.2, 0.3, 0.4]"
Over My Dead Body,Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",0.489,0.57,1,-10.291,1,0.306,0.759,2.1e-06,0.179,0.584,185.516,272573,4,chill,"[0.2, 0.3, 0.4]"
Kool Aid & Frozen Pizza,Mac Miller,"['hip hop', 'pittsburgh rap', 'pop rap', 'rap']",0.66,0.845,11,-4.57,1,0.301,0.154,0.0,0.294,0.706,89.769,157540,4,chill,"[0.2, 0.3, 0.4]"
LONELY NIGHTS,tofubeats,"['japanese electropop', 'japanese r&b']",0.866,0.704,11,-6.628,0,0.0386,0.363,0.0,0.0696,0.884,134.019,236484,4,chill,"[0.2, 0.3, 0.4]"
Wet Dreamz,J. Cole,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",0.495,0.722,6,-8.108,0,0.357,0.0697,0.0,0.113,0.539,175.627,239267,4,chill,"[0.2, 0.3, 0.4]"
Money Trees,Kendrick Lamar,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",0.716,0.531,7,-7.355,1,0.122,0.0703,0.0,0.224,0.344,71.994,386907,4,chill,"[0.2, 0.3, 0.4]"
Phoenix,A$AP Rocky,"['east coast hip hop', 'hip hop', 'rap', 'trap']",0.644,0.515,9,-11.274,0,0.143,0.589,0.00522,0.0847,0.519,144.072,233880,4,chill,"[0.2, 0.3, 0.4]"
Sit Back (feat. Truthos Mufasa & Black Josh),The Mouse Outfit,"['manchester hip hop', 'uk alternative hip hop']",0.81,0.618,3,-7.265,0,0.146,0.661,3.93e-05,0.174,0.888,93.719,213189,4,chill,"[0.2, 0.3, 0.4]"
Heaven’s EP (with J. Cole),Dreamville,"['hip hop', 'pop rap', 'rap']",0.686,0.667,2,-7.284,1,0.426,0.296,0.0,0.218,0.667,77.977,178292,4,chill,"[0.2, 0.3, 0.4]"
FOR MY PEOPLE,Joey Bada$$,"['conscious hip hop', 'hip hop', 'rap']",0.672,0.704,11,-6.628,0,0.165,0.111,0.0,0.115,0.188,100.986,232765,4,chill,"[0.2, 0.3, 0.4]"
Just What I Am,Kid Cudi,"['hip hop', 'ohio hip hop', 'pop rap', 'rap']",0.654,0.95,1,-3.163,1,0.137,0.00223,0.0,0.406,0.351,140.009,228027,4,chill,"[0.2, 0.3, 0.4]"
Luv(sic.) pt3 (feat. Shing02),Nujabes,"['ambeat', 'chillhop', 'downtempo', 'instrumental hip hop', 'japanese chillhop', 'japanese old school hip hop', 'jazz rap']",0.866,0.691,5,-4.371,0,0.0478,0.727,0.503,0.0737,0.87,94.997,336867,4,chill,"[0.2, 0.3, 0.4]"
すきにやる,HENTAI SHINSHI CLUB,[],0.7,0.689,1,-7.016,1,0.0857,0.15,0.0,0.156,0.713,93.132,217037,4,chill,"[0.2, 0.3, 0.4]"
The Eponym,Chill Bump,['jazz rap'],0.756,0.646,1,-6.898,1,0.276,0.284,0.0,0.569,0.803,160.265,144870,4,chill,"[0.2, 0.3, 0.4]"
Killem with Kindness,Dizzy Wright,"['conscious hip hop', 'indie pop rap', 'underground hip hop']",0.712,0.61,2,-6.786,0,0.238,0.0299,0.0,0.0941,0.587,87.978,208275,4,chill,"[0.2, 0.3, 0.4]"
In The Morning,J. Cole,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",0.44,0.671,3,-10.598,0,0.477,0.764,0.0,0.212,0.479,83.078,234387,4,chill,"[0.2, 0.3, 0.4]"
Father Time (feat. Sampha),Kendrick Lamar,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",0.514,0.779,10,-4.365,0,0.344,0.181,0.0,0.099,0.517,152.869,222497,4,chill,"[0.2, 0.3, 0.4]"
月ひとつ,BASI,"['j-rap', 'japanese r&b']",0.755,0.594,2,-6.719,1,0.299,0.644,4.26e-06,0.307,0.807,84.002,222920,4,chill,"[0.2, 0.3, 0.4]"
Got Me Thinkin' (feat. Sparkz),The Mouse Outfit,"['manchester hip hop', 'uk alternative hip hop']",0.813,0.412,6,-8.356,0,0.205,0.561,0.00477,0.107,0.427,90.807,223773,4,chill,"[0.2, 0.3, 0.4]"
Two Tens (feat. Anderson .Paak),Cordae,"['hip hop', 'pop rap', 'rap', 'trap', 'underground hip hop']",0.603,0.546,4,-7.525,0,0.35,0.194,2.68e-06,0.0783,0.667,87.99,152372,4,chill,"[0.2, 0.3, 0.4]"
Shine,Joey Bada$$,"['conscious hip hop', 'hip hop', 'rap']",0.447,0.619,10,-4.301,0,0.25,0.0851,0.0,0.0965,0.468,78.57,171947,1,chill,"[0.2, 0.3, 0.4]"
Indica Badu,Logic,"['conscious hip hop', 'hip hop', 'pop rap', 'rap']",0.742,0.72,0,-2.876,1,0.116,0.0402,0.000846,0.0839,0.97,77.011,260320,4,chill,"[0.2, 0.3, 0.4]"
Lady Brown (feat. Cise Starr from CYNE),Nujabes,"['ambeat', 'chillhop', 'downtempo', 'instrumental hip hop', 'japanese chillhop', 'japanese old school hip hop', 'jazz rap']",0.499,0.874,0,-4.586,1,0.097,0.611,0.000639,0.0703,0.861,97.317,199160,4,chill,"[0.2, 0.3, 0.4]"
Pharsyde (feat. Joe Fox),A$AP Rocky,"['east coast hip hop', 'hip hop', 'rap', 'trap']",0.642,0.56,7,-15.123,1,0.0848,0.0541,0.752,0.131,0.499,130.003,222333,4,chill,"[0.2, 0.3, 0.4]"
Not Today,Chill Bump,['jazz rap'],0.934,0.458,6,-10.435,1,0.08,0.462,2.36e-05,0.123,0.767,111.707,190400,3,chill,"[0.2, 0.3, 0.4]"
Emotionless,Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",0.414,0.677,1,-5.12,1,0.254,0.0248,0.0,0.0793,0.0853,172.521,302173,4,chill,"[0.2, 0.3, 0.4]"
Apparently,J. Cole,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",0.802,0.544,5,-9.212,1,0.0686,0.605,0.0,0.102,0.57,133.992,292865,4,chill,"[0.2, 0.3, 0.4]"
Poetic Justice,Kendrick Lamar,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",0.779,0.572,6,-9.985,0,0.378,0.157,0.0,0.246,0.647,135.956,300160,4,chill,"[0.2, 0.3, 0.4]"
Scottie Beam,Freddie Gibbs,"['alternative hip hop', 'hip hop', 'indiana hip hop', 'rap', 'underground hip hop']",0.523,0.654,6,-9.531,0,0.216,0.815,8.34e-06,0.211,0.544,79.192,244053,4,chill,"[0.2, 0.3, 0.4]"
Street Jazz,Awon,['jazz rap'],0.672,0.648,1,-7.275,0,0.333,0.744,0.0,0.114,0.64,93.114,154838,4,chill,"[0.2, 0.3, 0.4]"
WAIT FOR U (feat. Drake & Tems),Future,"['atl hip hop', 'hip hop', 'rap', 'southern hip hop', 'trap']",0.463,0.642,1,-4.474,1,0.34,0.314,0.0,0.0686,0.339,83.389,189893,4,chill,"[0.2, 0.3, 0.4]"
500 Benz,Joey Bada$$,"['conscious hip hop', 'hip hop', 'rap']",0.676,0.763,11,-7.604,0,0.198,0.186,1.92e-06,0.107,0.624,87.967,201818,4,chill,"[0.2, 0.3, 0.4]"
Boyz In Paris (with VINAI),Marnik,"['dutch house', 'sky room']",0.554,0.968,1,-4.178,1,0.0695,0.0326,4.2e-05,0.304,0.415,74.465,151590,4,sport,"[0.8, 0.9, 1]"
Prada,cassö,[],0.638,0.717,8,-5.804,1,0.0375,0.001,1.79e-06,0.113,0.422,141.904,132359,4,sport,"[0.8, 0.9, 1]"
Vois sur ton chemin - Techno Mix,BENNETT,[],0.634,0.824,2,-3.394,0,0.047,0.0908,0.0711,0.119,0.371,137.959,178156,4,sport,"[0.8, 0.9, 1]"
Breathe,CamelPhat,"['deep tech house', 'house', 'progressive house', 'uk dance']",0.595,0.877,9,-7.414,0,0.0442,0.00646,0.0879,0.398,0.081,125.015,194233,4,sport,"[0.8, 0.9, 1]"
Push Up - Main Edit,Creeds,[],0.767,0.83,7,-8.78,1,0.206,0.209,0.836,0.0582,0.187,75.023,139300,4,sport,"[0.8, 0.9, 1]"
Sandstorm,Darude,"['eurodance', 'finnish edm']",0.532,0.967,11,-7.977,0,0.0457,0.146,0.985,0.115,0.59,136.083,225667,4,sport,"[0.8, 0.9, 1]"
Hey Boy Hey Girl,The Chemical Brothers,"['alternative dance', 'big beat', 'breakbeat', 'electronica', 'rave', 'trip hop']",0.632,0.92,2,-4.976,1,0.0531,0.119,0.508,0.114,0.363,127.001,290493,4,sport,"[0.8, 0.9, 1]"
Jungle,Fred again..,"['edm', 'house', 'stutter house']",0.665,0.727,1,-8.073,0,0.0391,0.00984,0.394,0.172,0.397,133.922,198806,4,sport,"[0.8, 0.9, 1]"
Adagio For Strings - Radio Edit,Tiësto,"['big room', 'brostep', 'dutch edm', 'edm', 'house', 'pop dance', 'slap house', 'trance']",0.49,0.916,10,-8.663,0,0.0461,0.0202,0.939,0.119,0.367,139.976,205053,4,sport,"[0.8, 0.9, 1]"
Slip Away,Arthur Wills,[],0.602,0.918,7,-5.771,1,0.0484,0.00365,0.0214,0.409,0.369,126.031,175281,4,sport,"[0.8, 0.9, 1]"
Apricots,Bicep,"['ambient house', 'electronica']",0.819,0.599,11,-6.778,1,0.039,0.347,0.824,0.083,0.489,127.986,246507,4,sport,"[0.8, 0.9, 1]"
Born Slippy (Nuxx),Underworld,"['big beat', 'electronica']",0.576,0.953,10,-8.968,1,0.0362,0.00106,0.49,0.474,0.303,140.042,456480,4,sport,"[0.8, 0.9, 1]"
On Repeat,Julien Fade,[],0.818,0.715,8,-8.067,1,0.0338,0.0905,0.0144,0.1,0.0384,126.0,172576,4,sport,"[0.8, 0.9, 1]"
Ecuador - Original Radio Edit,Sash!,"['eurodance', 'german techno']",0.591,0.888,4,-6.836,1,0.0354,0.00223,0.699,0.396,0.588,132.885,212133,4,sport,"[0.8, 0.9, 1]"
Cola,CamelPhat,"['deep tech house', 'house', 'progressive house', 'uk dance']",0.706,0.74,6,-7.904,1,0.0325,0.0245,0.512,0.135,0.444,122.007,223869,3,sport,"[0.8, 0.9, 1]"
Yeah!,DJSM,['covertronica'],0.796,0.933,7,-5.103,1,0.0838,0.00621,0.00609,0.291,0.661,126.006,146384,4,sport,"[0.8, 0.9, 1]"
Do It To It,ACRAZE,"['pop dance', 'tech house']",0.854,0.806,11,-8.262,0,0.0886,0.0209,0.0542,0.0703,0.637,124.927,157890,4,sport,"[0.8, 0.9, 1]"
Kernkraft 400,GYMBRO,[],0.481,0.95,4,-6.706,1,0.0823,0.0069,0.843,0.408,0.0394,140.057,126915,4,sport,"[0.8, 0.9, 1]"
Make Believe,FVTM,['covertronica'],0.749,0.742,4,-8.194,0,0.0441,0.00281,0.217,0.0851,0.549,123.993,177585,4,sport,"[0.8, 0.9, 1]"
Freed From The Whole,Rudeejay,[],0.609,0.876,4,-4.587,1,0.0776,0.00736,0.025,0.16,0.624,139.958,154025,4,sport,"[0.8, 0.9, 1]"
For An Angel - PVD Angel In Heaven Radio Edit,Paul van Dyk,"['german techno', 'trance', 'uplifting trance']",0.668,0.982,9,-7.979,0,0.0331,0.0437,0.849,0.887,0.591,138.223,233243,4,sport,"[0.8, 0.9, 1]"
Silence - DJ Tiësto's In Search Of Sunrise Edit,Delerium,['gregorian dance'],0.602,0.847,11,-5.998,0,0.0588,0.00887,0.0308,0.0622,0.0871,138.037,235200,4,sport,"[0.8, 0.9, 1]"
Good Love,Hannah Laing,['charva'],0.775,0.817,1,-4.921,1,0.0656,0.127,0.00273,0.215,0.386,140.033,169535,4,sport,"[0.8, 0.9, 1]"
Children,Robert Miles,"['dream trance', 'eurodance', 'trance']",0.604,0.755,0,-10.761,1,0.0337,0.000298,0.817,0.0625,0.387,137.064,243267,4,sport,"[0.8, 0.9, 1]"
Love Tonight (David Guetta Remix Edit),Shouse,['aussietronica'],0.621,0.989,10,-4.225,0,0.0434,0.015,0.357,0.184,0.0348,126.002,158095,4,sport,"[0.8, 0.9, 1]"
Opus,Eric Prydz,"['dutch house', 'edm', 'electro house', 'house', 'pop dance', 'progressive electro house', 'progressive house']",0.275,0.721,6,-6.222,0,0.0359,0.000702,0.821,0.0792,0.184,125.156,543453,4,sport,"[0.8, 0.9, 1]"
"1, 2 Step",DJSM,['covertronica'],0.808,0.953,7,-5.767,1,0.105,0.0024,0.00318,0.116,0.838,129.964,150103,4,sport,"[0.8, 0.9, 1]"
Fire!,Matt Mirter,[],0.708,0.89,6,-5.59,0,0.0618,0.0244,0.00843,0.04,0.531,127.984,165966,4,sport,"[0.8, 0.9, 1]"
You Know What,Robin Aristo,[],0.676,0.944,7,-3.41,1,0.13,0.00647,0.0823,0.451,0.45,126.02,141929,4,sport,"[0.8, 0.9, 1]"
Move Your Body,Awnix & Toobaï,[],0.854,0.792,9,-4.234,1,0.147,0.00611,0.774,0.193,0.751,128.021,232500,4,sport,"[0.8, 0.9, 1]"
Lay Low,Tiësto,"['big room', 'brostep', 'dutch edm', 'edm', 'house', 'pop dance', 'slap house', 'trance']",0.705,0.663,9,-5.289,0,0.0367,0.18,6.74e-06,0.0924,0.38,124.988,140160,4,sport,"[0.8, 0.9, 1]"
DNA (Loving You) [feat. Hannah Boleyn],Billy Gillies,['tech trance'],0.731,0.867,9,-6.169,0,0.0576,0.0112,0.0291,0.0863,0.23,142.048,164920,4,sport,"[0.8, 0.9, 1]"
Tango,Lister,['melbourne bounce'],0.691,0.984,11,-4.989,1,0.164,0.00976,0.449,0.4,0.576,129.963,143996,4,sport,"[0.8, 0.9, 1]"
Prada - Extended,cassö,[],0.8,0.859,5,-7.082,0,0.0537,7.3e-05,0.00508,0.0743,0.582,141.988,246444,4,sport,"[0.8, 0.9, 1]"
Satisfaction,David Guetta,"['big room', 'dance pop', 'edm', 'pop', 'pop dance']",0.752,0.935,11,-6.263,1,0.203,0.0742,0.0352,0.081,0.31,126.022,155677,4,sport,"[0.8, 0.9, 1]"
Rabbit Hole,CamelPhat,"['deep tech house', 'house', 'progressive house', 'uk dance']",0.602,0.866,9,-6.913,1,0.034,0.00986,0.0234,0.203,0.288,123.988,189498,4,sport,"[0.8, 0.9, 1]"
Tell Me Something Good,Ewan McVicar,['scottish techno'],0.812,0.796,8,-10.548,1,0.0356,0.00826,0.921,0.365,0.961,125.976,249679,4,sport,"[0.8, 0.9, 1]"
Born Slippy (Nuxx) - Radio Edit,Underworld,"['big beat', 'electronica']",0.542,0.966,10,-8.255,1,0.0421,0.00107,0.128,0.0984,0.351,140.071,264187,4,sport,"[0.8, 0.9, 1]"
"Kernkraft 400 - DJ Gius Mix, Radio Edit",Zombie Nation,['german techno'],0.714,0.528,6,-8.789,1,0.0692,0.00415,0.854,0.0819,0.297,139.983,207267,4,sport,"[0.8, 0.9, 1]"
Creep - BYOR Remix,Naeleck,['electro'],0.696,0.775,6,-6.539,1,0.0388,0.00393,0.104,0.378,0.435,126.979,156850,4,sport,"[0.8, 0.9, 1]"
My Crew,Acina,[],0.732,0.739,2,-5.064,1,0.0784,0.131,0.0112,0.385,0.268,128.019,149147,4,sport,"[0.8, 0.9, 1]"
Transmission - Joris Voorn Remix,Eelke Kleijn,"['dark progressive house', 'minimal melodic techno']",0.711,0.838,2,-7.985,1,0.0423,0.292,0.927,0.146,0.223,124.002,224274,4,sport,"[0.8, 0.9, 1]"
Work It,Rawdolff,[],0.857,0.68,7,-6.677,1,0.232,0.00228,0.00018,0.324,0.48,134.995,182430,4,sport,"[0.8, 0.9, 1]"
Give It To Me - Full Vocal Mix,Matt Sassari,"['french tech house', 'french techno', 'tech house']",0.874,0.869,1,-5.996,0,0.0315,0.00116,0.00238,0.164,0.726,126.027,102861,4,sport,"[0.8, 0.9, 1]"
Techno Disco Tool - Radio Edit,Mella Dee,['bass house'],0.766,0.947,3,-6.097,0,0.0361,0.00504,0.0513,0.282,0.71,129.973,194308,4,sport,"[0.8, 0.9, 1]"
Life Gets Hard,Akros,['hardtekk'],0.739,0.631,8,-10.539,1,0.121,0.608,0.0485,0.105,0.233,125.094,124800,3,sport,"[0.8, 0.9, 1]"
Turn On The Lights again.. (feat. Future & Fred again..) - Anyma Remix,Swedish House Mafia,"['edm', 'pop dance', 'progressive electro house']",0.683,0.825,7,-6.175,1,0.0424,0.000833,0.727,0.232,0.0451,126.023,253433,4,sport,"[0.8, 0.9, 1]"
We Do What We Want,Alan Fitzpatrick,"['deep minimal techno', 'house', 'minimal techno', 'techno']",0.77,0.966,6,-6.703,1,0.0422,0.000438,0.932,0.098,0.349,126.01,505577,4,sport,"[0.8, 0.9, 1]"
Pump It Up,Endor,"['deep groove house', 'scottish rock']",0.899,0.894,1,-7.255,1,0.222,0.203,9.95e-05,0.0606,0.654,129.047,150635,4,sport,"[0.8, 0.9, 1]"
Jumping All Over The World,Scooter,"['eurodance', 'german techno', 'hamburg electronic', 'happy hardcore']",0.576,0.967,2,-5.73,1,0.0911,0.0188,0.32,0.514,0.552,150.001,228822,4,sport,"[0.8, 0.9, 1]"
Si No Estás,iñigo quintero,[],0.537,0.421,5,-8.72,1,0.0285,0.827,0.0,0.138,0.524,98.224,184061,4,depressed,[0]
Love The Way You Lie,Eminem,"['detroit hip hop', 'hip hop', 'rap']",0.749,0.925,10,-5.034,1,0.227,0.241,0.0,0.52,0.641,86.989,263373,4,depressed,[0]
I Remember Everything (feat. Kacey Musgraves),Zach Bryan,"['classic oklahoma country', 'modern country pop']",0.429,0.453,0,-7.746,1,0.0459,0.554,2e-06,0.102,0.155,77.639,227196,4,depressed,[0]
lovely (with Khalid),Billie Eilish,"['art pop', 'pop']",0.351,0.296,4,-10.109,0,0.0333,0.934,0.0,0.095,0.12,115.284,200186,4,depressed,[0]
Hold On,Chord Overstreet,['acoustic pop'],0.618,0.443,2,-9.681,1,0.0526,0.469,0.0,0.0829,0.167,119.949,198853,4,depressed,[0]
Someone You Loved,Lewis Capaldi,"['pop', 'uk pop']",0.501,0.405,1,-5.679,1,0.0319,0.751,0.0,0.105,0.446,109.891,182161,4,depressed,[0]
Jocelyn Flores,XXXTENTACION,"['emo rap', 'miami hip hop']",0.872,0.391,0,-9.144,0,0.242,0.469,4.13e-06,0.297,0.437,134.021,119133,4,depressed,[0]
If the World Was Ending (feat. Julia Michaels),JP Saxe,"['alt z', 'canadian contemporary r&b', 'singer-songwriter pop']",0.429,0.486,1,-9.971,1,0.101,0.866,0.0,0.0982,0.661,146.99,209493,4,depressed,[0]
Let Me Down Slowly,Alec Benjamin,"['alt z', 'pop', 'pov: indie']",0.652,0.557,1,-5.714,0,0.0318,0.74,0.0,0.124,0.483,150.073,169354,4,depressed,[0]
Heather,Conan Gray,"['bedroom pop', 'pop', 'pov: indie']",0.357,0.425,5,-7.301,1,0.0333,0.584,0.0,0.322,0.27,102.078,198040,3,depressed,[0]
Half A Man,Dean Lewis,"['australian pop', 'pop']",0.507,0.204,0,-11.575,1,0.0504,0.855,0.0,0.143,0.343,77.765,179120,4,depressed,[0]
Jealous,Labrinth,"['indie poptimism', 'pop']",0.439,0.153,1,-8.95,1,0.0479,0.874,0.0,0.107,0.104,116.76,287693,3,depressed,[0]
when the party's over,Billie Eilish,"['art pop', 'pop']",0.367,0.111,4,-14.084,1,0.0972,0.978,3.97e-05,0.0897,0.198,82.642,196077,4,depressed,[0]
Revenge,XXXTENTACION,"['emo rap', 'miami hip hop']",0.746,0.251,11,-16.169,0,0.259,0.782,0.00203,0.106,0.18,139.999,120027,4,depressed,[0]
Hold Me While You Wait,Lewis Capaldi,"['pop', 'uk pop']",0.688,0.53,11,-5.507,1,0.0333,0.443,0.0,0.0995,0.162,106.958,205687,4,depressed,[0]
Dancing With Your Ghost,Sasha Alex Sloan,['alt z'],0.629,0.328,11,-8.284,1,0.029,0.768,2.5e-05,0.103,0.389,74.953,197732,4,depressed,[0]
hate u love u,Olivia O'Brien,"['alt z', 'pop']",0.407,0.416,6,-8.915,0,0.174,0.656,0.0,0.0981,0.246,176.947,175467,4,depressed,[0]
Dancing On My Own,Calum Scott,['pop'],0.681,0.174,1,-8.745,1,0.0315,0.837,3.35e-05,0.0983,0.231,112.672,260285,4,depressed,[0]
you broke me first,Tate McRae,"['alt z', 'pop']",0.667,0.373,4,-9.389,1,0.05,0.785,0.0,0.0906,0.0823,124.148,169266,4,depressed,[0]
you were good to me,Jeremy Zucker,"['alt z', 'electropop', 'pop']",0.561,0.0848,2,-15.099,1,0.0404,0.913,2.62e-05,0.112,0.206,102.128,219147,4,depressed,[0]
"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,"['art pop', 'pop']",0.444,0.0911,0,-17.665,1,0.0307,0.959,1.05e-06,0.098,0.142,78.403,222370,4,depressed,[0]
changes,XXXTENTACION,"['emo rap', 'miami hip hop']",0.669,0.308,11,-10.068,1,0.029,0.883,0.0,0.0984,0.52,64.934,121887,4,depressed,[0]
Why Am I Waiting,Papithbk,"['australian trap', 'sad lo-fi', 'sad rap']",0.747,0.387,1,-10.671,1,0.471,0.347,0.0,0.254,0.234,126.054,95680,4,depressed,[0]
Romantic Homicide,d4vd,"['bedroom pop', 'bedroom r&b']",0.571,0.544,6,-10.613,1,0.0299,0.453,0.00805,0.322,0.216,132.052,132631,4,depressed,[0]
Locksmith,Sadie Jean,"['alt z', 'singer-songwriter pop']",0.566,0.348,1,-10.726,1,0.0458,0.559,7.66e-06,0.113,0.374,98.734,164082,4,depressed,[0]
Losing Interest,itssvd,"['lo-fi chill', 'sad lo-fi']",0.753,0.355,8,-13.295,0,0.0898,0.48,0.87,0.122,0.506,111.863,120547,4,depressed,[0]
The Night We Met,Lord Huron,"['indie folk', 'stomp and holler']",0.544,0.369,2,-9.514,1,0.038,0.969,0.279,0.639,0.102,87.01,208212,3,depressed,[0]
Loosing Interest,Timmies,"['lo-fi chill', 'sad lo-fi']",0.926,0.199,10,-13.635,0,0.0916,0.51,0.119,0.224,0.763,113.952,117917,4,depressed,[0]
Love Is a Drug,Papithbk,"['australian trap', 'sad lo-fi', 'sad rap']",0.833,0.293,7,-17.24,1,0.416,0.785,0.0,0.103,0.42,110.06,100120,4,depressed,[0]
TV,Billie Eilish,"['art pop', 'pop']",0.412,0.236,4,-15.159,0,0.0379,0.83,0.00653,0.147,0.119,140.214,281381,4,depressed,[0]
Purpose,Justin Bieber,"['canadian pop', 'pop']",0.481,0.285,0,-10.848,1,0.0424,0.9,0.0,0.123,0.316,130.029,210160,4,depressed,[0]
Carry On,XXXTENTACION,"['emo rap', 'miami hip hop']",0.735,0.197,3,-13.378,0,0.537,0.768,0.000276,0.296,0.383,147.899,129720,4,depressed,[0]
Be Alright,Dean Lewis,"['australian pop', 'pop']",0.551,0.537,11,-7.595,1,0.034,0.705,0.0,0.0802,0.493,126.421,196493,4,depressed,[0]
Train Wreck,James Arthur,"['pop', 'talent show', 'uk pop']",0.311,0.485,6,-5.726,0,0.0365,0.701,0.0,0.0726,0.225,77.355,208827,4,depressed,[0]
It's You,Ali Gatie,['canadian hip hop'],0.732,0.463,11,-6.972,0,0.0287,0.374,0.0,0.194,0.397,95.971,212607,4,depressed,[0]
Get You The Moon (feat. Snøw),Kina,"['sad lo-fi', 'slowed and reverb']",0.498,0.235,1,-16.541,0,0.188,0.72,0.0,0.144,0.0895,118.917,179080,4,depressed,[0]
Lonely (with benny blanco),Justin Bieber,"['canadian pop', 'pop']",0.619,0.241,11,-7.102,0,0.046,0.9,0.0,0.116,0.0719,79.461,149190,4,depressed,[0]
Again,Shiloh Dynasty,"['lo-fi chill', 'sad lo-fi']",0.603,0.204,7,-12.727,0,0.112,0.479,0.0714,0.642,0.71,74.688,157206,5,depressed,[0]
Happier Than Ever,Billie Eilish,"['art pop', 'pop']",0.332,0.225,0,-8.697,1,0.0348,0.767,0.00349,0.128,0.297,81.055,298899,3,depressed,[0]
Say You Won't Let Go,James Arthur,"['pop', 'talent show', 'uk pop']",0.358,0.557,10,-7.398,1,0.059,0.695,0.0,0.0902,0.494,85.043,211467,4,depressed,[0]
