name,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,mouvement,liked
Easy (feat. Fivio Foreign),Sfera Ebbasta,0.738,0.681,8,-6.313,0,0.163,0.189,0.0,0.0983,0.546,144.926,206102,4,0.5,1
Italiano Anthem,Sfera Ebbasta,0.555,0.613,4,-6.746,0,0.0368,0.0619,0.0,0.198,0.0988,131.922,135935,4,0.5,1
Le Pietre Non Volano (feat. Marracash),Luchè,0.414,0.617,8,-7.998,1,0.0652,0.0512,2e-06,0.135,0.279,80.539,299061,4,0.5,1
Pornstar (feat. Sfera Ebbasta),Gemitaiz,0.792,0.568,0,-6.197,0,0.0342,0.00803,1.41e-05,0.228,0.183,100.002,237266,4,0.5,1
GASOLINA,ANNA,0.713,0.862,2,-2.9,1,0.0423,0.0695,3.95e-06,0.0847,0.691,130.139,145846,4,0.5,1
Hace Calor - Remix,Kaleb Di Masi,0.889,0.618,5,-5.124,0,0.0627,0.367,0.00438,0.105,0.444,130.021,247385,4,0.5,1
TOPBOY (feat. Noyz Narcos),Lazza,0.72,0.788,9,-6.637,0,0.281,0.215,0.0,0.105,0.282,93.331,206494,4,0.5,1
when the party's over,Billie Eilish,0.367,0.111,4,-14.084,1,0.0972,0.978,3.97e-05,0.0897,0.198,82.642,196077,4,0.2,0
Train Wreck,James Arthur,0.311,0.485,6,-5.726,0,0.0365,0.701,0.0,0.0726,0.225,77.355,208827,4,0.5,0
hostage,Billie Eilish,0.427,0.123,9,-15.228,0,0.0497,0.868,3.12e-05,0.0732,0.0394,129.565,229426,5,0.2,0
Elk Grove,David Kushner,0.324,0.217,0,-12.606,1,0.0315,0.959,0.00539,0.124,0.0984,116.583,215712,4,0.2,0
making the bed,Olivia Rodrigo,0.537,0.413,7,-7.736,1,0.0319,0.346,0.0,0.12,0.226,133.21,198867,4,0.5,0
logical,Olivia Rodrigo,0.499,0.246,7,-8.082,1,0.0345,0.853,0.0,0.1,0.153,81.051,231907,4,0.2,0
the grudge,Olivia Rodrigo,0.548,0.307,10,-9.214,1,0.0781,0.916,0.0,0.0828,0.317,127.923,189386,4,0.5,0
Your Power,Billie Eilish,0.632,0.284,9,-14.025,0,0.0801,0.932,0.000476,0.233,0.208,129.642,245897,4,0.5,0
Everybody Dies,Billie Eilish,0.275,0.155,7,-17.285,0,0.0674,0.928,0.176,0.0888,0.0588,65.136,206623,3,0.2,0
Male Fantasy,Billie Eilish,0.687,0.288,2,-10.415,1,0.045,0.863,0.0,0.0986,0.308,110.927,194887,4,0.5,0
Ontario,Novo Amor,0.409,0.223,10,-13.886,1,0.0296,0.947,0.0123,0.0635,0.173,89.877,192867,4,0.2,0
Impossible,James Arthur,0.376,0.695,0,-4.782,0,0.0933,0.135,0.0,0.11,0.302,169.533,209440,4,0.5,0
Heather,Conan Gray,0.357,0.425,5,-7.301,1,0.0333,0.584,0.0,0.322,0.27,102.078,198040,3,0.5,0
lovely (with Khalid),Billie Eilish,0.351,0.296,4,-10.109,0,0.0333,0.934,0.0,0.095,0.12,115.284,200186,4,0.2,0
Jacob and the Stone,Emile Mosseri,0.193,0.171,1,-18.494,1,0.0368,0.915,0.942,0.119,0.105,84.067,98560,4,0.2,0
favorite crime,Olivia Rodrigo,0.369,0.272,9,-10.497,1,0.0364,0.866,0.0,0.147,0.218,172.929,152667,4,0.5,0
"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,0.444,0.0911,0,-17.665,1,0.0307,0.959,1.05e-06,0.098,0.142,78.403,222370,4,0.2,0
listen before i go,Billie Eilish,0.319,0.0561,0,-23.023,1,0.045,0.935,0.00384,0.388,0.082,79.764,242652,3,0.2,0
i love you,Billie Eilish,0.421,0.131,0,-18.435,1,0.0382,0.952,0.00453,0.109,0.12,137.446,291796,4,0.2,0
Broken,Isak Danielson,0.434,0.637,5,-6.85,0,0.0613,0.451,0.0,0.112,0.1,141.869,216338,4,0.5,0
Get Down - Acoustic,James Arthur,0.406,0.485,4,-5.427,0,0.036,0.734,0.0,0.102,0.558,121.351,250840,5,0.5,0
You're Nobody 'Til Somebody Loves You - Acoustic,James Arthur,0.55,0.808,10,-5.541,0,0.378,0.24,0.0,0.076,0.896,159.889,191013,4,0.8,0
Emergency,James Arthur,0.614,0.663,11,-6.119,0,0.0499,0.00552,0.0,0.189,0.435,86.98,247813,4,0.5,0
The Funeral,Band of Horses,0.316,0.769,0,-5.283,0,0.0422,0.0142,0.0,0.0928,0.127,122.507,321147,4,0.5,0
Re: Stacks,Bon Iver,0.676,0.0812,2,-22.846,1,0.0398,0.979,0.416,0.118,0.314,125.053,401413,4,0.5,0
Berlin,RY X,0.396,0.0695,7,-20.337,1,0.0399,0.967,0.105,0.0996,0.0391,137.149,170551,4,0.2,0
To Build A Home,The Cinematic Orchestra,0.264,0.128,9,-15.443,1,0.034,0.885,0.352,0.105,0.0774,148.499,370667,4,0.2,0
Hallelujah,Jeff Buckley,0.339,0.143,0,-10.78,1,0.0317,0.921,0.000636,0.372,0.0948,101.213,413320,3,0.2,0
Isaac,Bear's Den,0.734,0.387,8,-11.821,0,0.0345,0.818,1.08e-05,0.123,0.213,130.04,239600,4,0.5,0
FIGURES,Jessie Reyez,0.6,0.139,7,-8.975,1,0.0464,0.811,9.5e-06,0.0918,0.256,171.041,240907,3,0.5,0
The Blower's Daughter,Damien Rice,0.342,0.2,4,-13.569,1,0.0324,0.134,0.000153,0.341,0.0743,133.113,286653,4,0.2,0
Mad World,Gary Jules,0.344,0.0585,3,-17.212,1,0.0373,0.976,0.000362,0.103,0.323,174.149,189507,4,0.5,0
Un homme heureux,William Sheller,0.478,0.856,0,-20.677,0,0.603,0.865,7.34e-05,0.272,0.575,116.969,292800,4,0.5,0
Don't You Remember,Adele,0.64,0.395,3,-5.689,1,0.0307,0.206,0.0,0.0935,0.235,115.082,243200,4,0.5,0
Can't Help Falling In Love (Recorded Live at Daytrotter),Ingrid Michaelson,0.315,0.151,0,-11.737,1,0.0322,0.928,0.014,0.086,0.253,141.178,194027,4,0.5,0
Mama Says,Ibeyi,0.861,0.215,0,-14.439,0,0.115,0.597,0.00105,0.137,0.144,119.932,249400,4,0.2,0
Retrograde,James Blake,0.533,0.251,7,-11.283,0,0.0372,0.873,0.104,0.134,0.186,77.503,223600,4,0.2,0
Stay,Rihanna,0.621,0.31,9,-10.164,0,0.0283,0.945,6.12e-05,0.117,0.125,111.893,240707,4,0.5,0
I'm Kissing You,Des'ree,0.224,0.294,9,-14.434,0,0.0402,0.911,0.0133,0.105,0.0711,82.428,293573,5,0.2,0
La chanson des vieux amants,Jacques Brel,0.397,0.2,0,-14.119,0,0.0287,0.826,0.000454,0.164,0.228,90.211,267467,4,0.5,0
Youth,Daughter,0.589,0.477,9,-12.71,0,0.0493,0.608,0.00188,0.122,0.488,150.399,251627,4,0.8,0
Freedom (#1),MØ,0.359,0.271,7,-8.988,0,0.032,0.955,0.00144,0.16,0.143,130.874,249533,5,0.2,0
Varðeldur,Sigur Rós,0.375,0.234,11,-13.507,0,0.0325,0.936,0.89,0.141,0.0368,98.063,367773,3,0.2,0
(No One Knows Me) Like the Piano,Sampha,0.621,0.199,10,-13.788,1,0.0344,0.976,0.00186,0.107,0.178,128.905,218160,4,0.2,0
Whirlwind,Halehan,0.73,0.189,11,-11.111,0,0.0349,0.848,0.0,0.119,0.177,111.066,241093,4,0.2,0
Frida,Thos Henley,0.607,0.23,7,-8.979,1,0.0299,0.8,0.000124,0.119,0.357,78.957,212547,4,0.5,0
Nothing's Gonna Hurt You Baby,Cigarettes After Sex,0.509,0.331,4,-14.083,1,0.0267,0.272,0.136,0.114,0.0957,96.848,286293,4,0.5,0
Indigo Night,Tamino,0.486,0.148,3,-15.237,0,0.0345,0.953,0.000121,0.117,0.124,117.676,254867,4,0.2,0
Heal,Tom Odell,0.455,0.179,1,-12.938,1,0.0389,0.952,0.00056,0.106,0.12,73.698,195240,4,0.2,0
Mockingbird,Eminem,0.654,0.661,4,-4.341,0,0.277,0.263,0.0,0.128,0.263,83.664,252187,4,0.5,0
Exit Music (For a Film),Radiohead,0.293,0.276,7,-11.353,1,0.0351,0.229,0.119,0.167,0.196,121.603,267187,4,0.2,0
Liability,Lorde,0.516,0.228,10,-11.108,0,0.14,0.926,0.0,0.109,0.318,78.908,171803,4,0.5,0
Miss Misery (Early Version),Elliott Smith,0.481,0.194,3,-16.133,1,0.0387,0.893,0.47,0.0984,0.299,134.635,176053,3,0.5,0
Boxes,Charlie Winston,0.467,0.394,3,-8.513,1,0.0292,0.943,0.0181,0.0748,0.18,148.289,281240,4,0.5,0
10am Gare du Nord,Keaton Henson,0.429,0.174,0,-12.185,1,0.0349,0.909,0.0,0.116,0.123,108.691,238173,4,0.2,0
Piano ombre,Frànçois & The Atlas Mountains,0.434,0.379,7,-10.831,1,0.0285,0.638,0.553,0.0977,0.0684,87.091,210640,4,0.5,0
The Scientist,Coldplay,0.557,0.442,5,-7.224,1,0.0243,0.731,1.46e-05,0.11,0.213,146.277,309600,4,0.8,0
Breathe Me,Sia,0.544,0.63,0,-7.523,1,0.0335,0.034,0.573,0.0961,0.202,120.064,274933,4,0.5,0
Poison & Wine,The Civil Wars,0.285,0.186,1,-12.729,1,0.0288,0.76,7.3e-05,0.104,0.203,153.848,219467,4,0.5,0
Near To You,A Fine Frenzy,0.515,0.159,1,-8.972,1,0.0288,0.944,0.0,0.109,0.205,72.907,275333,4,0.5,0
Talk To Me - Live,Yodelice,0.336,0.214,4,-14.074,0,0.0332,0.969,0.0019,0.354,0.075,82.389,264267,4,0.2,0
River,Joni Mitchell,0.405,0.152,0,-13.901,1,0.0395,0.979,9.07e-05,0.104,0.383,61.34,245040,4,0.5,0
Phantom Limb,Hospital Ships,0.317,0.286,2,-16.816,1,0.0352,0.445,0.138,0.107,0.0582,93.349,243694,4,0.2,0
Chasing Cars,Snow Patrol,0.563,0.592,9,-4.571,1,0.0276,0.209,5.08e-05,0.132,0.136,104.016,267933,4,0.5,0
In The Silence,JP Cooper,0.507,0.301,8,-7.992,1,0.0254,0.839,0.0,0.0955,0.117,94.901,199949,4,0.5,0
Cold,Novo Amor,0.411,0.304,3,-11.311,1,0.0345,0.791,0.402,0.0896,0.0392,67.553,263046,4,0.5,0
Going Home,Ásgeir,0.423,0.278,8,-13.018,0,0.0358,0.711,0.603,0.111,0.289,180.074,290890,1,0.5,0
Jóga,Björk,0.332,0.708,1,-6.345,0,0.056,0.405,7.91e-05,0.0743,0.239,146.195,309667,4,0.5,0
Glory Box,Portishead,0.51,0.434,1,-10.004,1,0.0361,0.177,0.516,0.0603,0.207,119.695,308627,4,0.2,0
Asleep - 2011 Remaster,The Smiths,0.512,0.255,0,-15.867,1,0.0291,0.88,0.532,0.146,0.215,115.144,253560,3,0.5,0
Thinkin Bout You,Frank Ocean,0.721,0.339,0,-11.195,1,0.0532,0.409,0.00153,0.0973,0.2,129.83,200747,4,0.5,0
Highspeeds,Elliot Moss,0.533,0.243,5,-13.144,1,0.0398,0.963,0.0119,0.125,0.0675,130.05,202333,4,0.2,0
La fin des temps,Mansfield.TYA,0.299,0.31,7,-14.242,0,0.0379,0.43,0.788,0.0864,0.0526,179.97,281627,3,0.5,0
Say It First,Sam Smith,0.566,0.407,0,-10.293,1,0.0914,0.766,0.000185,0.111,0.156,119.781,247555,4,0.5,0
Across The River,The Bony King of Nowhere,0.441,0.232,4,-10.05,1,0.0266,0.926,1.26e-05,0.114,0.18,90.052,188520,4,0.2,0
Fly,Ludovico Einaudi,0.166,0.25,1,-15.191,0,0.0357,0.994,0.876,0.0752,0.0349,77.031,280280,1,0.2,0
Empty Space,Air Traffic,0.338,0.294,10,-10.115,0,0.0313,0.976,0.187,0.11,0.0929,84.055,217173,4,0.2,0
I Might Float,Syd Matters,0.612,0.352,8,-10.094,1,0.0377,0.619,0.461,0.0825,0.168,152.617,290067,4,0.5,0
Autumn,Paolo Nutini,0.55,0.0818,9,-12.531,1,0.0462,0.978,0.000211,0.084,0.327,113.265,169067,4,0.5,0
The Wind That Blows,Piers Faccini,0.517,0.266,0,-15.811,1,0.0281,0.42,0.000591,0.159,0.25,75.018,227493,4,0.5,0
Sur toi,Zazie,0.543,0.204,1,-15.334,1,0.0444,0.908,0.000213,0.114,0.381,131.751,247107,4,0.5,0
Walk Away,Ben Harper,0.712,0.0954,7,-15.896,1,0.0474,0.874,0.0,0.105,0.393,140.431,229493,4,0.5,0
Nicest Thing,Kate Nash,0.536,0.314,11,-11.235,0,0.0299,0.686,0.000865,0.191,0.367,109.857,245507,4,0.2,0
Colorblind,Counting Crows,0.35,0.231,5,-13.319,1,0.031,0.961,0.0947,0.118,0.0713,107.763,203493,4,0.2,0
B a noBody,SOAK,0.423,0.268,7,-10.288,1,0.0315,0.904,0.0254,0.157,0.178,124.624,288141,4,0.2,0
Everybody Wants,Half Moon Run,0.478,0.324,0,-11.872,1,0.0281,0.567,0.128,0.0936,0.249,82.457,301133,4,0.2,0
Nuit 17 à 52,Christine and the Queens,0.497,0.351,7,-11.351,1,0.0361,0.248,0.0111,0.131,0.0612,174.02,262263,4,0.5,0
Family,Noah Gundersen,0.476,0.201,6,-11.836,0,0.0328,0.749,0.000589,0.173,0.154,111.681,214840,3,0.2,0
Crosses,José González,0.667,0.368,11,-9.939,0,0.0296,0.888,0.0225,0.103,0.301,134.624,162920,4,0.5,0
Aucun express,Alain Bashung,0.28,0.379,11,-11.531,0,0.0468,0.156,0.186,0.0925,0.0485,68.503,245200,4,0.5,0
Chord Left,Agnes Obel,0.622,0.0908,2,-20.476,0,0.0651,0.995,0.967,0.103,0.0377,182.003,148533,4,0.2,0
Claude's Girl,Marika Hackman,0.444,0.0629,7,-20.499,0,0.035,0.962,0.0069,0.097,0.225,141.325,158423,3,0.5,0
Nothing Compares 2 U,Sinéad O'Connor,0.511,0.574,5,-7.016,1,0.0273,0.0425,2.33e-05,0.105,0.161,119.917,280040,4,0.5,0
Keep Your Head Up,Ben Howard,0.48,0.61,4,-9.067,0,0.0311,0.604,5.23e-05,0.112,0.553,79.105,265866,4,0.5,0
Perfect Darkness,Fink,0.677,0.443,7,-9.526,1,0.0343,0.518,0.105,0.195,0.303,90.014,399027,4,0.5,0
Blue Bucket of Gold,Sufjan Stevens,0.306,0.0918,2,-23.005,1,0.0319,0.942,0.0224,0.161,0.124,74.925,285467,4,0.2,0
Dans le noir,Leto,0.799,0.67,5,-7.09,0,0.172,0.207,0.0,0.103,0.787,144.062,160859,4,0.5,1
1 2 3 4,Zokush,0.821,0.663,11,-7.199,0,0.125,0.268,0.0,0.113,0.556,129.985,180793,4,0.5,1
BALLE DANS LE COEUR,Ikaz Boi,0.71,0.591,7,-9.802,0,0.0723,0.0467,1.25e-06,0.436,0.55,120.004,160307,4,0.5,1
Akrapo 7,UZI,0.755,0.555,1,-7.752,1,0.233,0.0673,0.0,0.296,0.569,117.119,189618,4,0.5,1
FLASHBACK,Favé,0.762,0.564,6,-6.934,0,0.088,0.39,0.0,0.0654,0.744,141.938,176120,4,0.5,1
Magot,Werenoi,0.534,0.747,1,-6.412,0,0.315,0.231,0.0,0.21,0.523,98.229,196089,3,0.5,1
Eurostar (feat. Central Cee),Ninho,0.777,0.701,6,-6.13,0,0.167,0.615,1.03e-06,0.0843,0.836,137.054,187058,4,0.8,1
Meuda,Tiakola,0.724,0.593,9,-6.498,1,0.0766,0.508,0.0,0.196,0.624,141.901,152547,4,0.5,1
LA RUE,No Limit,0.713,0.59,2,-8.651,0,0.196,0.348,1.99e-06,0.123,0.578,138.065,225137,4,0.5,1
Bolide allemand,SDM,0.718,0.643,4,-7.473,0,0.16,0.441,0.0,0.113,0.645,131.825,176747,4,0.5,1
Laboratoire,Werenoi,0.801,0.604,5,-6.525,0,0.21,0.463,0.00378,0.111,0.534,125.024,162840,4,0.5,1
Jour de plus,Freeze corleone,0.79,0.768,10,-6.45,0,0.227,0.0027,6.28e-06,0.116,0.316,143.962,209557,4,0.5,1
Special,Dave,0.742,0.763,2,-6.488,0,0.243,0.242,0.0,0.146,0.865,143.125,247507,4,0.8,1
Mucho cuir,Rsko,0.745,0.63,8,-6.643,0,0.158,0.249,0.0,0.119,0.643,126.978,185813,4,0.5,1
Demain,PLK,0.726,0.675,1,-8.251,1,0.16,0.272,0.0,0.121,0.846,137.954,183013,4,0.8,1
Ciao,Werenoi,0.679,0.646,2,-6.606,0,0.202,0.129,0.0,0.323,0.546,147.969,216333,4,0.5,1
AMBER,Zola,0.707,0.778,6,-8.915,1,0.221,0.0853,0.00365,0.177,0.668,140.988,182068,4,0.5,1
Immonde,Leto,0.697,0.53,2,-10.079,0,0.291,0.0937,0.0,0.0979,0.658,142.103,162525,4,0.5,1
Meridian,Dave,0.897,0.665,4,-4.718,0,0.0713,0.169,4.02e-05,0.217,0.601,115.05,255160,4,0.5,1
Quoi de neuf bébé,Jok'air,0.658,0.525,10,-6.764,0,0.117,0.219,2.18e-06,0.115,0.174,147.125,202760,4,0.5,1
Les Flammes,Josman,0.795,0.584,2,-6.726,0,0.316,0.239,0.0,0.0801,0.686,143.951,193333,4,0.5,1
NO LÈCHE,Gazo,0.746,0.736,0,-8.439,1,0.353,0.0741,0.000483,0.124,0.577,156.017,194202,4,0.5,1
Bonsoir Paris (Mama No Cry),S.Pri Noir,0.704,0.466,6,-12.345,0,0.402,0.319,6.01e-05,0.224,0.389,95.334,218535,4,0.2,1
Jolie (feat. Ninho),GAULOIS,0.717,0.686,1,-6.388,0,0.0483,0.141,0.0,0.208,0.653,134.067,159573,4,0.5,1
La faille,Jul,0.941,0.775,5,-5.151,0,0.167,0.227,0.0,0.0964,0.619,130.028,291280,4,0.5,1
Bonjour,Gambi,0.719,0.793,4,-4.681,0,0.287,0.00269,0.0,0.0631,0.831,157.985,136712,4,0.8,1
Mahmouma,Niaks,0.857,0.513,8,-7.079,0,0.178,0.178,0.000708,0.0952,0.527,129.996,142747,4,0.5,1
Guapa,Guy2Bezbar,0.828,0.732,2,-7.279,1,0.351,0.126,0.0,0.11,0.819,130.056,169593,4,0.8,1
Roule un autre - A COLORS SHOW,Kerchak,0.522,0.744,8,-8.277,1,0.706,0.0294,1.76e-06,0.17,0.466,71.47,176087,5,0.5,1
Shavkat,Freeze corleone,0.629,0.731,1,-7.157,1,0.297,0.0696,0.0,0.0967,0.489,111.154,219866,3,0.5,1
Maybach,Landy,0.51,0.467,10,-7.03,1,0.256,0.518,0.0,0.0719,0.451,189.017,188573,3,0.8,1
COEUR DE ICE (feat. Damso),Zola,0.851,0.567,2,-8.074,1,0.231,0.215,0.0,0.0998,0.446,119.969,192213,4,0.5,1
Capitaine,Djadja & Dinaz,0.768,0.662,0,-5.92,1,0.182,0.37,0.0,0.0844,0.636,151.937,155920,4,0.5,1
Codéine 19,Hamza,0.812,0.525,5,-6.906,0,0.0942,0.162,0.0,0.132,0.698,76.977,143280,4,0.5,1
Philly,Zkr,0.884,0.647,6,-5.886,0,0.28,0.101,0.0,0.0976,0.655,127.016,228575,4,0.5,1
Dernière ligne droite (feat. Laylow),SCH,0.608,0.451,1,-8.594,0,0.409,0.366,7.07e-05,0.109,0.105,79.797,193271,4,0.5,1
Quali,OBOY,0.722,0.511,6,-6.443,0,0.0329,0.248,0.0,0.0588,0.457,116.973,181650,4,0.5,1
Pas là,Djadja & Dinaz,0.786,0.643,2,-5.42,0,0.0316,0.622,5.71e-05,0.135,0.755,125.045,147000,4,0.5,1
Une Autre,Kaaris,0.69,0.716,8,-6.507,0,0.0963,0.597,0.0,0.124,0.769,145.861,166115,4,0.5,1
ᚷ. INSPIRÉ DE FAITS RÉELS #6,Beendo Z,0.536,0.57,1,-10.641,1,0.349,0.0943,0.0,0.0611,0.46,142.427,169882,4,0.8,1
